NEXT_PTS,NEXT_AST,NEXT_REB,NEXT_BLK,NEXT_STL,NEXT_TOV,NEXT_MIN,NEXT_FG3M,NEXT_FGA,NEXT_FTA,NEXT_FG_PCT,NEXT_FT_PCT
13.2,1.7,4.5,0.6,0.6,1.2,27.0,1.3,11.0,2.7,0.453,0.751
30.6,4.2,11.7,1.5,1.1,3.1,33.8,1.4,19.6,11.8,0.499,0.814
33.1,4.2,10.2,1.7,1.0,3.4,34.6,1.0,20.1,11.7,0.548,0.857
34.7,5.6,11.0,1.7,1.2,3.8,33.6,1.4,21.8,11.6,0.529,0.883
6.4,1.3,3.6,0.1,0.4,1.0,14.1,0.8,4.9,1.3,0.458,0.829
8.0,2.3,4.4,0.2,0.5,1.2,17.2,1.2,6.1,1.5,0.466,0.849
11.1,1.2,11.9,1.3,0.7,0.6,27.6,0.0,8.2,2.3,0.613,0.473
12.0,0.9,11.0,1.2,0.7,0.8,26.6,0.0,8.2,2.0,0.653,0.603
11.5,1.2,10.6,1.5,0.6,1.0,25.8,0.0,8.5,2.8,0.571,0.631
15.1,3.1,4.0,0.2,1.1,1.1,29.3,2.7,12.6,1.8,0.431,0.843
14.0,2.8,3.1,0.3,0.8,1.2,27.9,2.7,11.3,1.4,0.447,0.831
16.9,3.1,3.4,0.3,1.2,1.4,30.4,3.0,13.9,2.1,0.428,0.921
15.0,2.8,11.1,0.6,1.1,2.6,28.2,0.3,10.7,4.8,0.535,0.69
13.3,2.9,9.1,0.8,0.8,2.3,26.8,0.8,9.7,3.7,0.519,0.661
10.9,4.0,11.0,1.1,1.1,2.3,27.3,0.3,8.3,3.4,0.51,0.64
27.1,7.9,13.8,0.9,1.5,3.8,33.5,1.3,17.7,6.3,0.583,0.81
24.5,9.8,11.8,0.7,1.3,3.6,33.7,0.8,14.8,6.0,0.632,0.822
26.4,9.0,12.4,0.9,1.4,3.0,34.6,1.1,17.9,5.5,0.583,0.817
20.2,2.3,8.1,1.6,0.7,1.6,29.0,1.5,15.0,5.6,0.459,0.867
23.2,2.7,8.4,1.5,0.9,2.1,32.6,2.1,15.7,6.4,0.498,0.851
20.1,2.0,7.2,1.9,0.7,1.6,29.6,1.9,13.2,5.3,0.516,0.858
7.2,3.5,2.9,0.1,0.5,1.0,24.9,1.7,6.3,0.5,0.404,0.773
6.9,3.3,2.8,0.1,0.7,1.2,22.7,1.8,5.4,0.5,0.435,0.857
4.4,3.0,2.1,0.1,0.6,1.0,17.2,1.0,3.3,0.5,0.436,0.824
8.5,4.9,3.3,0.4,1.1,1.1,24.2,0.4,7.7,0.9,0.481,0.826
8.7,5.3,3.1,0.1,1.1,1.9,20.4,0.3,6.9,0.9,0.543,0.853
10.2,5.5,2.7,0.1,1.0,1.5,18.2,0.3,8.4,0.9,0.556,0.79
8.7,4.4,2.4,0.0,0.9,0.6,21.2,1.1,7.6,0.9,0.451,0.818
10.3,5.2,2.5,0.1,1.0,0.9,24.2,1.5,8.9,1.2,0.438,0.806
12.0,7.3,2.7,0.3,1.1,1.0,29.3,1.6,10.1,0.6,0.489,0.8
4.4,2.4,2.9,0.2,1.2,0.6,18.9,0.6,3.5,0.8,0.454,0.857
7.4,3.9,3.6,0.3,1.8,0.9,24.4,0.8,5.8,1.2,0.474,0.867
4.5,2.5,1.8,0.2,1.1,0.3,15.8,0.5,4.0,1.0,0.394,0.822
18.1,7.1,3.3,0.3,1.0,2.5,31.9,2.7,15.0,3.7,0.411,0.825
17.8,6.2,3.0,0.4,1.0,2.6,32.5,2.7,13.4,3.0,0.469,0.829
18.0,6.3,3.1,0.5,0.9,2.1,32.7,3.0,14.2,2.5,0.456,0.828
24.6,3.6,9.8,1.1,1.0,3.1,33.5,2.0,16.4,6.3,0.529,0.822
20.8,4.8,8.1,0.6,0.7,3.0,33.0,2.1,14.8,4.7,0.495,0.874
21.8,3.0,8.3,0.7,0.7,2.9,32.7,2.2,15.3,4.7,0.504,0.873
10.4,1.1,7.0,0.9,0.4,1.2,23.9,0.0,6.7,2.0,0.66,0.778
3.1,0.2,1.9,0.3,0.1,0.3,8.3,0.1,2.1,0.5,0.618,0.789
