PLAYER_ID,PLAYER_NAME,TEAM_NAME,TEAM_ABBREVIATION,SEASON,SEASON_ORDER,SCHOOL,COUNTRY,DRAFT_YEAR,HEIGHT
1626166,Cameron Payne,Phoenix Suns,PHX,2022-23,3,Murray State,USA,2015,6-3
1626167,Myles Turner,Indiana Pacers,IND,2020-21,1,Texas,USA,2015,6-11
1626167,Myles Turner,Indiana Pacers,IND,2021-22,2,Texas,USA,2015,6-11
1626167,Myles Turner,Indiana Pacers,IND,2022-23,3,Texas,USA,2015,6-11
1626168,Trey Lyles,San Antonio Spurs,SAS,2020-21,1,Kentucky,Canada,2015,6-9
1626168,Trey Lyles,Sacramento Kings,SAC,2021-22,2,Kentucky,Canada,2015,6-9
1626168,Trey Lyles,Sacramento Kings,SAC,2022-23,3,Kentucky,Canada,2015,6-9
1626171,Bobby Portis,Milwaukee Bucks,MIL,2020-21,1,Arkansas,USA,2015,6-9
1626171,Bobby Portis,Milwaukee Bucks,MIL,2021-22,2,Arkansas,USA,2015,6-9
1626171,Bobby Portis,Milwaukee Bucks,MIL,2022-23,3,Arkansas,USA,2015,6-9
1626172,Kevon Looney,Golden State Warriors,GSW,2020-21,1,UCLA,USA,2015,6-9
1626172,Kevon Looney,Golden State Warriors,GSW,2021-22,2,UCLA,USA,2015,6-9
1626172,Kevon Looney,Golden State Warriors,GSW,2022-23,3,UCLA,USA,2015,6-9
1626179,Terry Rozier,Charlotte Hornets,CHA,2020-21,1,Louisville,USA,2015,6-1
1626179,Terry Rozier,Charlotte Hornets,CHA,2021-22,2,Louisville,USA,2015,6-1
1626179,Terry Rozier,Charlotte Hornets,CHA,2022-23,3,Louisville,USA,2015,6-1
1626181,Norman Powell,Portland Trail Blazers,POR,2020-21,1,UCLA,USA,2015,6-3
1626181,Norman Powell,LA Clippers,LAC,2021-22,2,UCLA,USA,2015,6-3
1626181,Norman Powell,LA Clippers,LAC,2022-23,3,UCLA,USA,2015,6-3
1626192,Pat Connaughton,Milwaukee Bucks,MIL,2020-21,1,Notre Dame,USA,2015,6-5
1626192,Pat Connaughton,Milwaukee Bucks,MIL,2021-22,2,Notre Dame,USA,2015,6-5
1626192,Pat Connaughton,Milwaukee Bucks,MIL,2022-23,3,Notre Dame,USA,2015,6-5
1626196,Josh Richardson,Dallas Mavericks,DAL,2020-21,1,Tennessee,USA,2015,6-5
1626196,Josh Richardson,San Antonio Spurs,SAS,2021-22,2,Tennessee,USA,2015,6-5
1626196,Josh Richardson,New Orleans Pelicans,NOP,2022-23,3,Tennessee,USA,2015,6-5
1626204,Larry Nance Jr.,Cleveland Cavaliers,CLE,2020-21,1,Wyoming,USA,2015,6-6
1626204,Larry Nance Jr.,New Orleans Pelicans,NOP,2021-22,2,Wyoming,USA,2015,6-6
1626204,Larry Nance Jr.,New Orleans Pelicans,NOP,2022-23,3,Wyoming,USA,2015,6-6
